model,agents,success,agent_fraction_at_goal,path_length_ratio,smoothness,collisions,near_collisions,obstacle_hits,mean_arrival_step,runtime
ORCA,32,1.0,1.0,0.9948626197219845,0.006330322008579969,0.0,55.0,0.0,112.4375,0.9564254283905029
ORCA,64,0.0,0.96875,0.9954831652839073,0.0071595474146306515,2.0,239.0,0.0,129.609375,3.878847360610962
ORCA,96,0.0,0.9791666666666666,0.9976785106316971,0.008586074225604534,24.0,593.0,0.0,127.30208333333333,7.959872722625732
ORCA,128,0.0,0.984375,1.006452433754561,0.013549108058214188,77.0,1007.0,0.0,124.78125,13.716213464736938
Flow c=1,32,0.0,0.90625,1.1659174987978724,0.23537904024124146,0.0,47.0,0.0,140.9375,5.783152103424072
Flow c=1,64,0.0,0.84375,1.1335795259864057,0.29400724172592163,6.0,320.0,0.0,160.59375,16.314286947250366
Flow c=1,96,0.0,0.8541666666666666,1.133590281267111,0.28329432010650635,28.0,624.0,0.0,157.42708333333334,34.33399963378906
Flow c=1,128,0.0,0.8359375,1.1449068662075006,0.2823730707168579,78.0,1056.0,59.0,154.328125,59.636682748794556
Flow c=3,32,0.0,0.90625,1.0785364397688706,0.1429697424173355,2.0,74.0,0.0,140.25,8.143479108810425
Flow c=3,64,0.0,0.84375,1.0376986648783044,0.174443781375885,1.0,230.0,0.0,159.15625,18.749999046325684
Flow c=3,96,0.0,0.8541666666666666,1.04148714577012,0.17667073011398315,25.0,613.0,0.0,156.82291666666666,36.90874981880188
Flow c=3,128,0.0,0.8515625,1.0504426129896889,0.17484121024608612,62.0,1112.0,0.0,152.359375,62.121864318847656
Flow c=5,32,0.0,0.90625,1.0574007785649362,0.10991434752941132,0.0,78.0,0.0,139.75,10.192066192626953
Flow c=5,64,0.0,0.84375,1.0183745427815865,0.14226974546909332,10.0,279.0,0.0,159.28125,20.687097311019897
Flow c=5,96,0.0,0.84375,1.0182300558855273,0.13969317078590393,22.0,687.0,0.0,156.30208333333334,38.83937120437622
Flow c=5,128,0.0,0.84375,1.02774674517521,0.13917843997478485,69.0,1042.0,49.0,151.6328125,63.999263048172
Discrete,32,0.0,0.6875,1.4338766513686523,0.28291094303131104,0.0,104.0,461.0,168.5,5.188580513000488
Discrete,64,0.0,0.578125,1.330623017744028,0.29703086614608765,9.0,559.0,1296.0,191.421875,15.738580465316772
Discrete,96,0.0,0.6875,1.3281540737938744,0.28649404644966125,64.0,855.0,1141.0,179.95833333333334,33.90804886817932
Discrete,128,0.0,0.6953125,1.3228857133163279,0.2911979556083679,252.0,1755.0,2077.0,176.140625,59.02134108543396
