Panel,Run,Group,Success,Mean agents at goal,Avg runtime,Avg cost / agent,Rows
8 heldout maps,Rishi classifier,100,89.0%,99.8%,2.19s,159.8,200
8 heldout maps,Rishi classifier,200,81.5%,99.5%,3.82s,172.4,200
8 heldout maps,Rishi classifier,300,80.0%,99.2%,6.04s,188.1,200
8 heldout maps,Rishi classifier,400,68.0%,99.0%,10.07s,206.7,200
8 heldout maps,Rishi classifier,500,61.7%,98.0%,16.27s,246.3,175
8 heldout maps,Rishi classifier,600,61.7%,95.7%,23.48s,268.5,175
8 heldout maps,Rishi classifier,700,54.9%,94.4%,28.44s,294.0,175
8 heldout maps,Rishi classifier,800,53.7%,93.0%,31.55s,319.6,175
8 heldout maps,Rishi classifier,900,54.9%,89.9%,35.55s,339.5,175
8 heldout maps,Rishi classifier,1000,51.4%,86.3%,39.88s,347.1,175
8 heldout maps,"Ours, trained off heldout",100,91.5%,99.8%,10.99s,204.2,200
8 heldout maps,"Ours, trained off heldout",200,80.0%,99.5%,15.65s,236.5,200
8 heldout maps,"Ours, trained off heldout",300,74.5%,99.1%,20.81s,280.8,200
8 heldout maps,"Ours, trained off heldout",400,56.0%,98.1%,26.82s,342.4,200
8 heldout maps,"Ours, trained off heldout",500,52.6%,92.5%,32.00s,401.4,175
8 heldout maps,"Ours, trained off heldout",600,53.1%,88.1%,34.93s,408.8,175
8 heldout maps,"Ours, trained off heldout",700,49.7%,84.6%,40.27s,388.4,175
8 heldout maps,"Ours, trained off heldout",800,47.4%,81.8%,44.15s,384.1,175
8 heldout maps,"Ours, trained off heldout",900,46.9%,79.1%,50.41s,372.2,175
8 heldout maps,"Ours, trained off heldout",1000,36.6%,76.7%,58.87s,362.9,175
8 heldout maps,"Parth, trained on all data",100,90.5%,99.7%,11.14s,191.5,200
8 heldout maps,"Parth, trained on all data",200,78.5%,99.3%,14.90s,209.5,200
8 heldout maps,"Parth, trained on all data",300,77.5%,99.0%,18.53s,237.0,200
8 heldout maps,"Parth, trained on all data",400,64.5%,98.7%,26.32s,280.8,200
8 heldout maps,"Parth, trained on all data",500,56.6%,97.4%,32.76s,350.5,175
8 heldout maps,"Parth, trained on all data",600,54.9%,93.0%,35.75s,376.7,175
8 heldout maps,"Parth, trained on all data",700,52.6%,88.4%,41.39s,368.9,175
8 heldout maps,"Parth, trained on all data",800,48.6%,85.4%,45.33s,367.9,175
8 heldout maps,"Parth, trained on all data",900,46.3%,82.6%,51.07s,358.8,175
8 heldout maps,"Parth, trained on all data",1000,44.0%,79.9%,59.47s,350.0,175
12-map panel,Rishi classifier,100,84.7%,99.5%,2.04s,140.4,300
12-map panel,Rishi classifier,200,74.7%,98.7%,3.61s,158.9,300
12-map panel,Rishi classifier,300,67.3%,97.7%,6.13s,181.3,300
12-map panel,Rishi classifier,400,58.5%,98.7%,10.14s,195.1,275
12-map panel,Rishi classifier,500,52.4%,97.4%,15.11s,215.8,275
12-map panel,Rishi classifier,600,46.8%,94.8%,21.54s,251.6,250
12-map panel,Rishi classifier,700,40.0%,92.9%,28.02s,275.8,250
12-map panel,Rishi classifier,800,40.0%,91.0%,31.73s,298.8,250
12-map panel,Rishi classifier,900,38.8%,88.8%,36.46s,320.9,250
12-map panel,Rishi classifier,1000,36.8%,85.6%,41.41s,334.6,250
12-map panel,"Ours, trained off heldout",100,86.0%,99.6%,9.76s,175.1,300
12-map panel,"Ours, trained off heldout",200,73.7%,99.1%,13.80s,210.8,300
12-map panel,"Ours, trained off heldout",300,57.7%,94.6%,18.83s,256.5,300
12-map panel,"Ours, trained off heldout",400,46.2%,96.6%,25.52s,302.0,275
12-map panel,"Ours, trained off heldout",500,33.8%,91.0%,30.43s,334.1,275
12-map panel,"Ours, trained off heldout",600,37.2%,86.7%,35.67s,365.0,250
12-map panel,"Ours, trained off heldout",700,34.8%,83.2%,42.25s,357.2,250
12-map panel,"Ours, trained off heldout",800,33.2%,80.2%,46.66s,360.6,250
12-map panel,"Ours, trained off heldout",900,32.8%,77.0%,53.99s,358.2,250
12-map panel,"Ours, trained off heldout",1000,26.0%,73.6%,62.44s,356.5,250
