mapName,scenFile,agentNum,seed,shieldType,success,total_cost_true,total_cost_not_resting_at_goal,num_agents_at_goal,runtime
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,100,0,CS-PIBT,True,17626,16802,100,0.565
Berlin_1_256,data/scen-random/Berlin_1_256-random-14.scen,100,0,CS-PIBT,True,19542,18793,100,0.613
Berlin_1_256,data/scen-random/Berlin_1_256-random-11.scen,100,0,CS-PIBT,True,17749,17276,100,0.685
Berlin_1_256,data/scen-random/Berlin_1_256-random-13.scen,100,0,CS-PIBT,True,18181,17804,100,0.703
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,100,0,CS-PIBT,True,19647,19017,100,0.601
Berlin_1_256,data/scen-random/Berlin_1_256-random-15.scen,100,0,CS-PIBT,True,19908,19389,100,0.687
Berlin_1_256,data/scen-random/Berlin_1_256-random-12.scen,100,0,CS-PIBT,True,19241,19061,100,0.766
Berlin_1_256,data/scen-random/Berlin_1_256-random-11.scen,200,0,CS-PIBT,True,37876,35638,200,1.192
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,200,0,CS-PIBT,True,39294,37221,200,1.117
Berlin_1_256,data/scen-random/Berlin_1_256-random-15.scen,200,0,CS-PIBT,True,39142,37151,200,1.187
Berlin_1_256,data/scen-random/Berlin_1_256-random-13.scen,200,0,CS-PIBT,True,38016,36039,200,1.241
Berlin_1_256,data/scen-random/Berlin_1_256-random-14.scen,200,0,CS-PIBT,True,38499,36745,200,1.182
Berlin_1_256,data/scen-random/Berlin_1_256-random-12.scen,200,0,CS-PIBT,True,39220,36577,200,1.301
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,200,0,CS-PIBT,True,38332,35654,200,1.297
Berlin_1_256,data/scen-random/Berlin_1_256-random-16.scen,100,0,CS-PIBT,True,17656,17084,100,0.538
Berlin_1_256,data/scen-random/Berlin_1_256-random-14.scen,300,0,CS-PIBT,True,58920,55154,300,1.623
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,300,0,CS-PIBT,True,60836,56496,300,1.653
Berlin_1_256,data/scen-random/Berlin_1_256-random-15.scen,300,0,CS-PIBT,True,58844,54816,300,1.690
Berlin_1_256,data/scen-random/Berlin_1_256-random-11.scen,300,0,CS-PIBT,True,59689,54162,300,1.754
Berlin_1_256,data/scen-random/Berlin_1_256-random-13.scen,300,0,CS-PIBT,True,57842,54022,300,1.748
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,300,0,CS-PIBT,True,57736,54188,300,1.803
Berlin_1_256,data/scen-random/Berlin_1_256-random-12.scen,300,0,CS-PIBT,True,61116,55033,300,1.833
Berlin_1_256,data/scen-random/Berlin_1_256-random-13.scen,400,0,CS-PIBT,True,78260,72219,400,2.193
Berlin_1_256,data/scen-random/Berlin_1_256-random-14.scen,400,0,CS-PIBT,True,80740,74125,400,2.241
Berlin_1_256,data/scen-random/Berlin_1_256-random-11.scen,400,0,CS-PIBT,True,79965,72388,400,2.372
Berlin_1_256,data/scen-random/Berlin_1_256-random-15.scen,400,0,CS-PIBT,True,81910,74544,400,2.253
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,400,0,CS-PIBT,True,79795,72692,400,2.439
Berlin_1_256,data/scen-random/Berlin_1_256-random-12.scen,400,0,CS-PIBT,True,82371,73946,400,2.352
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,400,0,CS-PIBT,True,83741,76131,400,2.416
Berlin_1_256,data/scen-random/Berlin_1_256-random-17.scen,100,0,CS-PIBT,True,18668,18261,100,0.541
Berlin_1_256,data/scen-random/Berlin_1_256-random-16.scen,200,0,CS-PIBT,True,37573,35038,200,1.237
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,500,0,CS-PIBT,True,106516,95530,500,2.893
Berlin_1_256,data/scen-random/Berlin_1_256-random-11.scen,500,0,CS-PIBT,True,104036,92896,500,2.811
Berlin_1_256,data/scen-random/Berlin_1_256-random-14.scen,500,0,CS-PIBT,True,101303,91985,500,2.773
Berlin_1_256,data/scen-random/Berlin_1_256-random-12.scen,500,0,CS-PIBT,True,105112,93512,500,2.885
Berlin_1_256,data/scen-random/Berlin_1_256-random-13.scen,500,0,CS-PIBT,True,101062,90833,500,2.855
Berlin_1_256,data/scen-random/Berlin_1_256-random-17.scen,200,0,CS-PIBT,True,38152,35876,200,1.023
Berlin_1_256,data/scen-random/Berlin_1_256-random-1.scen,500,0,CS-PIBT,True,101629,90474,500,3.003
Berlin_1_256,data/scen-random/Berlin_1_256-random-16.scen,300,0,CS-PIBT,True,59632,54727,300,1.908
Berlin_1_256,data/scen-random/Berlin_1_256-random-18.scen,100,0,CS-PIBT,True,20152,19394,100,0.642
Berlin_1_256,data/scen-random/Berlin_1_256-random-14.scen,600,0,CS-PIBT,True,123256,110847,600,3.350
Berlin_1_256,data/scen-random/Berlin_1_256-random-12.scen,600,0,CS-PIBT,True,127592,112350,600,3.461
Berlin_1_256,data/scen-random/Berlin_1_256-random-15.scen,500,0,CS-PIBT,True,101046,91954,500,2.898
Berlin_1_256,data/scen-random/Berlin_1_256-random-13.scen,600,0,CS-PIBT,True,123574,109842,600,3.581
Berlin_1_256,data/scen-random/Berlin_1_256-random-17.scen,300,0,CS-PIBT,True,59354,55092,300,1.696
Berlin_1_256,data/scen-random/Berlin_1_256-random-10.scen,600,0,CS-PIBT,True,130015,114569,600,3.567
