agentNum,SSIL classifier,Flow GNN (wave10),Flow GNN (Parth e14),Transformer + action head,Transformer flow only,Transformer flow-dot aux
100,0.8894472361809045,0.914572864321608,0.9045226130653267,0.7135678391959799,0.6884422110552764,0.678391959798995
200,0.8140703517587939,0.7989949748743719,0.7839195979899497,0.6482412060301508,0.5577889447236181,0.5175879396984925
300,0.7989949748743719,0.7437185929648241,0.7738693467336684,0.6231155778894473,0.44221105527638194,0.34673366834170855
400,0.678391959798995,0.5577889447236181,0.6432160804020101,0.5326633165829145,0.3316582914572864,0.20100502512562815
500,0.6149425287356322,0.5229885057471264,0.5632183908045977,0.4482758620689655,0.29310344827586204,0.10344827586206896
600,0.6171428571428571,0.5314285714285715,0.5485714285714286,0.32571428571428573,0.28,0.04
700,0.5485714285714286,0.49714285714285716,0.5257142857142857,0.2571428571428571,0.24571428571428572,0.0
800,0.5371428571428571,0.4742857142857143,0.4857142857142857,0.21142857142857144,0.14857142857142858,0.0
900,0.5485714285714286,0.4685714285714286,0.46285714285714286,0.17142857142857143,0.005714285714285714,0.0
1000,0.5114942528735632,0.3620689655172414,0.4367816091954023,0.14942528735632185,0.0,0.0
