map,variant,cases,success_rate,agent_goal_fraction,runtime_mean
Paris_1_256,Flow-dot aux,244,0.21721311475409835,0.8029615534738486,57.724469780921936
Paris_1_256,Action head,250,0.488,0.9457150952380953,51.24401101589203
Paris_1_256,Flow only,250,0.02,0.5780338888888888,59.9648798494339
den312d,Flow-dot aux,250,0.228,0.5835064603174603,50.10508159065247
den312d,Action head,250,0.308,0.6960056031746031,39.22249051570893
den312d,Flow only,250,0.24,0.5062753650793651,54.01473420524597
den520d,Flow-dot aux,250,0.136,0.6742843015873016,58.7318976612091
den520d,Action head,250,0.368,0.7728309206349206,52.33000939464569
den520d,Flow only,250,0.34,0.8027912380952381,55.0267164812088
empty-48-48,Flow-dot aux,250,0.32,0.8252932539682539,49.116732845306394
empty-48-48,Action head,250,0.968,0.9998177777777778,19.564295866012575
empty-48-48,Flow only,250,0.768,0.9818322222222222,33.612256300926205
maze-128-128-2,Flow-dot aux,250,0.0,0.1076216507936508,60.13661136913299
maze-128-128-2,Action head,250,0.0,0.29311590476190474,60.055862648010255
maze-128-128-2,Flow only,250,0.0,0.21240803174603173,60.068656536102296
random-32-32-10,Flow-dot aux,100,0.31,0.8531666666666666,42.84013114690781
random-32-32-10,Action head,100,0.76,0.9977416666666666,17.26505238056183
random-32-32-10,Flow only,100,0.63,0.9960166666666667,35.39474101543426
random-64-64-10,Flow-dot aux,250,0.428,0.9059828888888889,44.320912568092346
random-64-64-10,Action head,250,0.66,0.9864416190476191,32.84879180335999
random-64-64-10,Flow only,250,0.636,0.993405365079365,37.05941856956482
warehouse-10-20-10-2-1,Flow-dot aux,250,0.04,0.717949365079365,55.17663367652893
warehouse-10-20-10-2-1,Action head,250,0.02,0.7839203809523809,51.390257927894595
warehouse-10-20-10-2-1,Flow only,250,0.032,0.5952891904761904,58.95315293884277
