map,agent_count,flow,ssil,flow_rows,ssil_rows
Paris_1_256,100,225.4748,191.7028,25,25
Paris_1_256,200,226.97,192.6308,25,25
Paris_1_256,300,226.7304,192.6008,25,25
Paris_1_256,400,228.613,194.1116,25,25
Paris_1_256,500,229.56168,194.59208,25,25
Paris_1_256,600,230.85466666666667,195.24066666666667,25,25
Paris_1_256,700,232.11845714285715,195.9145142857143,25,25
Paris_1_256,800,232.56105,196.08395,25,25
Paris_1_256,900,233.92026666666666,196.61004444444444,25,25
Paris_1_256,1000,234.85816,197.29584,25,25
empty-48-48,100,39.0876,32.5892,25,25
empty-48-48,200,41.6408,34.3174,25,25
empty-48-48,300,45.2776,36.60386666666667,25,25
empty-48-48,400,50.0901,39.8928,25,25
empty-48-48,500,55.54408,44.22304,25,25
empty-48-48,600,62.74733333333333,49.9606,25,25
empty-48-48,700,71.41017142857143,56.8448,25,25
empty-48-48,800,82.9102,65.2404,25,25
empty-48-48,900,96.62057777777778,74.60471111111111,25,25
empty-48-48,1000,115.34948,85.98332,25,25
den520d,100,204.8292,174.7784,25,25
den520d,200,205.2094,174.6784,25,25
den520d,300,205.97733333333335,175.63546666666667,25,25
den520d,400,208.9793,178.0603,25,25
den520d,500,211.17176,180.0972,25,25
den520d,600,213.14266666666666,182.47533333333334,25,25
den520d,700,216.1945142857143,185.45257142857142,25,25
den520d,800,218.8225,188.1654,25,25
den520d,900,221.87844444444445,191.62222222222223,25,25
den520d,1000,226.07812,195.30656,25,25
random-64-64-10,100,54.0496,44.9116,25,25
random-64-64-10,200,56.2378,46.1196,25,25
random-64-64-10,300,60.34773333333333,48.90613333333334,25,25
random-64-64-10,400,65.1338,51.7744,25,25
random-64-64-10,500,71.49048,55.53424,25,25
random-64-64-10,600,78.17633333333333,60.3562,25,25
random-64-64-10,700,86.54634285714286,65.97411428571428,25,25
random-64-64-10,800,96.071,72.4796,25,25
random-64-64-10,900,106.82088888888889,79.75675555555556,25,25
random-64-64-10,1000,118.80312,87.47132,25,25
den312d,100,73.2104,60.6772,25,25
den312d,200,92.7526,82.4526,25,25
den312d,300,117.66266666666667,112.20786666666666,25,25
den312d,400,151.8908,146.9085,25,25
den312d,500,189.72864,184.0516,25,25
den312d,600,226.91733333333332,217.31373333333335,25,25
den312d,700,257.12874285714287,242.47171428571428,25,25
den312d,800,280.02815,263.34825,25,25
den312d,900,302.7827111111111,284.8228888888889,25,25
den312d,1000,320.84904,304.08716,25,25
random-32-32-10,100,33.6948,26.5252,25,25
random-32-32-10,200,48.7648,36.157,25,25
random-32-32-10,300,74.3016,51.797333333333334,25,25
random-32-32-10,400,119.4461,76.5184,25,25
random-32-32-10,500,,,,
random-32-32-10,600,,,,
random-32-32-10,700,,,,
random-32-32-10,800,,,,
random-32-32-10,900,,,,
random-32-32-10,1000,,,,
maze-128-128-2,100,1012.1032,636.2328,25,25
maze-128-128-2,200,1166.6872,688.0814,25,25
maze-128-128-2,300,1384.3590666666666,741.6905333333333,25,25
maze-128-128-2,400,1620.3095,798.0706,25,25
maze-128-128-2,500,1830.62528,882.23432,25,25
maze-128-128-2,600,1850.4192,967.5486,25,25
maze-128-128-2,700,1662.7131428571429,1087.6260571428572,25,25
maze-128-128-2,800,1584.25875,1204.79855,25,25
maze-128-128-2,900,1421.4796444444444,1278.8737777777778,25,25
maze-128-128-2,1000,1264.3498,1264.2608,25,25
warehouse-10-20-10-2-1,100,120.2644,110.9868,25,25
warehouse-10-20-10-2-1,200,137.6782,124.7672,25,25
warehouse-10-20-10-2-1,300,160.1136,145.304,25,25
warehouse-10-20-10-2-1,400,184.3344,167.9889,25,25
warehouse-10-20-10-2-1,500,201.54968,183.64872,25,25
warehouse-10-20-10-2-1,600,222.212,206.3956,25,25
warehouse-10-20-10-2-1,700,236.45417142857144,224.06565714285713,25,25
warehouse-10-20-10-2-1,800,256.94385,247.13285,25,25
warehouse-10-20-10-2-1,900,278.1229777777778,269.9668888888889,25,25
warehouse-10-20-10-2-1,1000,299.84524,295.36764,25,25
