map,agent_count,flow,ssil,flow_rows,ssil_rows
Paris_1_256,100,100.0,100.0,25,25
Paris_1_256,200,100.0,100.0,25,25
Paris_1_256,300,100.0,100.0,25,25
Paris_1_256,400,100.0,100.0,25,25
Paris_1_256,500,100.0,100.0,25,25
Paris_1_256,600,100.0,100.0,25,25
Paris_1_256,700,100.0,100.0,25,25
Paris_1_256,800,100.0,100.0,25,25
Paris_1_256,900,100.0,100.0,25,25
Paris_1_256,1000,100.0,100.0,25,25
empty-48-48,100,100.0,100.0,25,25
empty-48-48,200,100.0,100.0,25,25
empty-48-48,300,100.0,100.0,25,25
empty-48-48,400,100.0,100.0,25,25
empty-48-48,500,100.0,100.0,25,25
empty-48-48,600,96.0,100.0,25,25
empty-48-48,700,100.0,100.0,25,25
empty-48-48,800,100.0,100.0,25,25
empty-48-48,900,96.0,100.0,25,25
empty-48-48,1000,60.0,100.0,25,25
den520d,100,100.0,100.0,25,25
den520d,200,100.0,100.0,25,25
den520d,300,100.0,100.0,25,25
den520d,400,100.0,100.0,25,25
den520d,500,100.0,100.0,25,25
den520d,600,100.0,100.0,25,25
den520d,700,100.0,100.0,25,25
den520d,800,100.0,100.0,25,25
den520d,900,100.0,100.0,25,25
den520d,1000,96.0,96.0,25,25
random-64-64-10,100,100.0,100.0,25,25
random-64-64-10,200,100.0,96.0,25,25
random-64-64-10,300,96.0,92.0,25,25
random-64-64-10,400,96.0,80.0,25,25
random-64-64-10,500,92.0,92.0,25,25
random-64-64-10,600,88.0,96.0,25,25
random-64-64-10,700,92.0,72.0,25,25
random-64-64-10,800,68.0,76.0,25,25
random-64-64-10,900,72.0,84.0,25,25
random-64-64-10,1000,60.0,64.0,25,25
den312d,100,100.0,100.0,25,25
den312d,200,92.0,88.0,25,25
den312d,300,84.0,88.0,25,25
den312d,400,60.0,44.0,25,25
den312d,500,20.0,0.0,25,25
den312d,600,0.0,0.0,25,25
den312d,700,0.0,0.0,25,25
den312d,800,0.0,0.0,25,25
den312d,900,0.0,0.0,25,25
den312d,1000,0.0,0.0,25,25
random-32-32-10,100,100.0,96.0,25,25
random-32-32-10,200,76.0,84.0,25,25
random-32-32-10,300,64.0,84.0,25,25
random-32-32-10,400,44.0,60.0,25,25
random-32-32-10,500,,,,
random-32-32-10,600,,,,
random-32-32-10,700,,,,
random-32-32-10,800,,,,
random-32-32-10,900,,,,
random-32-32-10,1000,,,,
maze-128-128-2,100,96.0,92.0,25,25
maze-128-128-2,200,84.0,84.0,25,25
maze-128-128-2,300,72.0,76.0,25,25
maze-128-128-2,400,48.0,60.0,25,25
maze-128-128-2,500,0.0,40.0,25,25
maze-128-128-2,600,0.0,36.0,25,25
maze-128-128-2,700,0.0,12.0,25,25
maze-128-128-2,800,0.0,0.0,25,25
maze-128-128-2,900,0.0,0.0,25,25
maze-128-128-2,1000,0.0,0.0,25,25
warehouse-10-20-10-2-1,100,28.0,24.0,25,25
warehouse-10-20-10-2-1,200,0.0,0.0,25,25
warehouse-10-20-10-2-1,300,0.0,0.0,25,25
warehouse-10-20-10-2-1,400,0.0,0.0,25,25
warehouse-10-20-10-2-1,500,0.0,0.0,25,25
warehouse-10-20-10-2-1,600,0.0,0.0,25,25
warehouse-10-20-10-2-1,700,0.0,0.0,25,25
warehouse-10-20-10-2-1,800,0.0,0.0,25,25
warehouse-10-20-10-2-1,900,0.0,0.0,25,25
warehouse-10-20-10-2-1,1000,0.0,0.0,25,25
